Date,Confirmed,Recovered,Deaths
2020-01-22,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0
2020-02-27,1.0,0.0,0.0
2020-02-28,1.0,0.0,0.0
2020-02-29,3.0,0.0,0.0
2020-03-01,4.0,0.0,0.0
2020-03-02,4.0,0.0,0.0
2020-03-03,6.0,0.0,0.0
2020-03-04,10.0,0.0,0.0
2020-03-05,10.0,0.0,0.0
2020-03-06,23.0,1.0,0.0
2020-03-07,23.0,1.0,0.0
2020-03-08,35.0,1.0,0.0
2020-03-09,90.0,1.0,0.0
2020-03-10,262.0,1.0,0.0
2020-03-11,442.0,1.0,0.0
2020-03-12,615.0,1.0,0.0
2020-03-13,801.0,1.0,0.0
2020-03-14,827.0,1.0,1.0
2020-03-15,864.0,1.0,2.0
2020-03-16,914.0,1.0,3.0
2020-03-17,977.0,1.0,4.0
2020-03-18,1057.0,1.0,4.0
2020-03-19,1151.0,1.0,6.0
2020-03-20,1255.0,1.0,9.0
2020-03-21,1326.0,1.0,13.0
2020-03-22,1395.0,1.0,13.0
2020-03-23,1450.0,1.0,24.0
2020-03-24,1591.0,1.0,32.0
2020-03-25,1724.0,1.0,34.0
2020-03-26,1877.0,1.0,41.0
2020-03-27,2046.0,1.0,52.0
2020-03-28,2201.0,1.0,65.0
2020-03-29,2395.0,1.0,72.0
2020-03-30,2577.0,1.0,77.0
2020-03-31,2860.0,1.0,90.0
2020-04-01,3107.0,894.0,104.0
2020-04-02,3386.0,1089.0,123.0
2020-04-03,3757.0,1193.0,139.0
2020-04-04,4077.0,1283.0,161.0
2020-04-05,4369.0,1327.0,179.0
2020-04-06,4681.0,1378.0,187.0
2020-04-07,5071.0,1491.0,203.0
2020-04-08,5402.0,1621.0,218.0
2020-04-09,5635.0,1736.0,237.0
2020-04-10,5819.0,1773.0,247.0
2020-04-11,5996.0,1955.0,260.0
2020-04-12,6174.0,2123.0,273.0
2020-04-13,6318.0,2235.0,285.0
2020-04-14,6511.0,2515.0,299.0
2020-04-15,6681.0,2748.0,309.0
2020-04-16,6879.0,3023.0,321.0
2020-04-17,7073.0,3389.0,336.0
2020-04-18,7242.0,3847.0,346.0
2020-04-19,7384.0,4141.0,355.0
2020-04-20,7515.0,4312.0,364.0
2020-04-21,7695.0,4700.0,370.0
2020-04-22,7912.0,5087.0,384.0
2020-04-23,8073.0,5384.0,394.0
2020-04-24,8210.0,5526.0,403.0
2020-04-25,8445.0,5669.0,418.0
2020-04-26,8575.0,5805.0,422.0
2020-04-27,8698.0,5959.0,427.0
2020-04-28,8851.0,6121.0,434.0
2020-04-29,9008.0,6366.0,443.0
2020-04-30,9158.0,6546.0,452.0
2020-05-01,9311.0,6729.0,460.0
2020-05-02,9407.0,6889.0,475.0
2020-05-03,9523.0,6987.0,484.0
2020-05-04,9670.0,7088.0,493.0
2020-05-05,9821.0,7296.0,503.0
2020-05-06,9938.0,7493.0,506.0
2020-05-07,10083.0,7711.0,514.0
2020-05-08,10218.0,7927.0,522.0
2020-05-09,10319.0,8093.0,526.0
2020-05-10,10429.0,8217.0,529.0
2020-05-11,10513.0,8328.0,533.0
2020-05-12,10591.0,8580.0,527.0
2020-05-13,10667.0,8663.0,533.0
2020-05-14,10713.0,8805.0,537.0
2020-05-15,10791.0,8959.0,537.0
2020-05-16,10858.0,9107.0,543.0
